,Rate [mmol/gDW/h]
0,1.420409698143633e-05
1,1.0199373526461836e-05
2,1.8762609647335e-05
3,1.2002354234956565e-05
4,4.889734926009116e-06
5,5.819647226824972e-06
6,1.747950109015824e-05
7,4.972505060691352e-05
8,1.6431976758965484e-05
9,0.0001382659054726
10,1.6179910033258154e-05
11,0.0001488499191403
12,0.0001199244781806
13,0.0001180608884854
14,7.221432413633437e-05
15,7.058797434693795e-05
16,0.0004431019475235
17,0.0003422967712296
18,0.0006916834116943
19,6.298291340417741e-05
20,4.2212490134568e-05
21,-2.6282511454829503e-06
22,-1.0952734804795748e-05
23,2.265801638052811e-06
24,-1.9424173007995905e-05
25,1.0204116223066364e-05
26,4.476141067292168e-05
27,0.00010180871402
28,0.0008345480676046
29,0.0005133419691746
30,0.0008320208630736
31,6.459028052273799e-05
32,4.2212490134568e-05
33,3.0726607432818306e-06
34,-1.2220031487296197e-06
35,1.0073867786358209e-05
36,6.531412109609924e-05
37,3.885877143893093e-05
38,2.7441839772136927e-05
39,1.1725140000878936e-05
40,1.0813125848293964e-05
41,2.7979892683988223e-05
42,9.124717030733683e-06
44,3.0751357864823025e-05
45,1.5894993555322214e-06
46,0.0019509814983676
47,2.033421505601532e-05
48,0.0001178487016153
49,0.0016187063069687
50,0.0003169924547226
51,0.0022386921218991
52,0.0076532933406966
53,0.0098667668650125
54,0.0074548498558831
55,-6.670306930713443e-06
56,-4.114485350031394e-06
57,1.05754788411931e-05
58,-1.8079333547853048e-05
59,-2.195264990485171e-05
60,-2.6079279134597515e-05
61,0.0003980163843877
62,0.0001840543455949
63,0.0005727122986378
64,2.5795461110732797e-05
66,0.000555299425044
67,0.0007512297101598
68,1.0038756682992082e-05
69,1.551307948330156e-05
70,0.0023146948411087
71,0.0038872008010393
72,0.0032645347216091
73,5.130530390372902e-05
75,0.0004911718670588
76,3.783146801141533e-05
77,1.1750295234262228e-05
78,5.884992473095225e-06
79,6.559991786861869e-06
