Nutrient,K
glucose,39.8
glucose,47
silicate,0.12
silicate,0.31
glucose,3
ammonium,2.6
glucose,5
phosphate,0.018
glucose,49
glucose,0.18
glucose,0.18
glucose,0.18
thiamine,0.00000047
phosphate,0.01
nitrate,0.3
magnesium,23
potassium,10
sulfate,2.8
glucose,13
vitamin B12,0.0000001
lactose,59
lactose,59.5
lactose,34
maltose,25
phosphate,2
glycerol,135
glucose,44
glucose,30
glucose,55
glucose,105
glucose,120
glucose,180
lactate,10
lactate,8
lactate,30
lactate,90
lactate,50
lactate,95
lactate,120
lactate,150
glucose,111
glucose,327
glucose,1583
glucose,2172
glucose,0.597
glucose,13
glucose,0.19
phosphate,0.066
phosphate,4500
phosphate,17.35
phosphate,0.008
phosphate,0.13
glucose,2.67
fructose,0.694
arabinose,0.979
magnesium,2
silicate,1.03
silicate,0.88
silicate,0.68
silicate,1.24
glucose,22
tryptophan,0.005
tryptophan,0.034
silicate,0.09
silicate,0.02
maltose,6000
glucose,2500
glucose,26000
arginine,2.8
glucose,110
glucose,390
phosphate,0.012
silicate,10
glucose,480
glucose,0.3
glucose,0.4
tryptophan,60
tryptophan,0.034
glucose,0.38
glycerol,50
oxygen,2.6
glucose,120
nitrate,0.3
nitrate,0.8
nitrate,0.9
nitrate,1.4
nitrate,4.2
silicate,60.1
silicate,88.7
silicate,5.7
silicate,21.7
silicate,8.4
oxygen,0.12
nitrate,0.28
nitrate,0.95
nitrate,1.02
nitrate,6.55
silicate,1.5
silicate,2.2
silicate,19.7
silicate,19
phosphate,0.011
phosphate,0.006
phosphate,0.003
phosphate,0.008
silicate,2.2
silicate,1.9
silicate,2.1
silicate,4
silicate,11
silicate,5.7
silicate,4.5
silicate,6.11
silicate,4.9
glucose,0.404
glucose,0.489
glucose,1
nitrate,1.2
glucose,202
glucose,115
glucose,189
glucose,143
glucose,811.1111111
glucose,550
glucose,116.6666667
ammonium,2.7
ammonium,3.3
ammonium,16
ammonium,2.5
ammonium,30
ammonium,14
ammonium,4.2
ammonium,18
ammonium,5.3
ammonium,18
ammonium,30
ammonium,0.37
ammonium,0.38
ammonium,0.38
ammonium,0.38
ammonium,0.39
ammonium,0.0029
ammonium,1
ammonium,1
ammonium,2.6
phosphate,0.036
phosphate,0.028
phosphate,0.009
phosphate,0.017
phosphate,0.019
phosphate,0.012
phosphate,0.017
phosphate,0.015
phosphate,0.0022
phosphate,0.0066
phosphate,0.0032
phosphate,0.65
phosphate,0.33
phosphate,0.17
phosphate,0.14
phosphate,0.22
phosphate,0.014
phosphate,0.0071
phosphate,0.022
phosphate,0.014
phosphate,0.0023
phosphate,0.019
phosphate,0.047
phosphate,0.012
phosphate,0.035
phosphate,0.025
phosphate,0.0001
phosphate,0.0069
phosphate,0.07
phosphate,0.19
phosphate,0.02
phosphate,1.3
phosphate,0.0026
phosphate,0.5
phosphate,0.54
phosphate,1.3
phosphate,0.96
phosphate,0.25
phosphate,0.62
phosphate,0.72
phosphate,0.31
phosphate,0.29
phosphate,0.39
phosphate,0.39
phosphate,0.0061
phosphate,0.025
phosphate,0.0018
phosphate,0.15
phosphate,0.23
phosphate,0.26
phosphate,1.2
phosphate,0.62
phosphate,0.2
phosphate,1
phosphate,1.2
phosphate,2.9
phosphate,0.74
phosphate,0.0017
phosphate,0.02
phosphate,0.25
phosphate,0.094
phosphate,0.014
phosphate,0.028
phosphate,0.045
phosphate,0.16
phosphate,0.02
phosphate,0.026
phosphate,0.035
phosphate,0.2
phosphate,0.32
phosphate,0.31
phosphate,0.034
phosphate,0.049
phosphate,0.05
phosphate,0.18
nitrate,0.036
nitrate,38
nitrate,0.24
nitrate,1.4
nitrate,0.2
nitrate,2.1
nitrate,3.1
nitrate,15
nitrate,4
nitrate,7.7
nitrate,0.86
nitrate,0.76
nitrate,1.4
nitrate,1.4
nitrate,1.7
nitrate,2.5
nitrate,63
nitrate,3.3
nitrate,8.2
nitrate,77
nitrate,5.7
nitrate,4.7
nitrate,71
nitrate,19
nitrate,7
nitrate,0.045
nitrate,1.2
